model,encoding,dataset,all_benchmarks_valid,experiment_json,scope,category,metric,seeds,n,mean,sample_std,min,max,hardware_json
gin,none,BREC,True,"{""encoding"": {""name"": ""none""}, ""model"": {""activation"": ""relu"", ""dropout"": 0.1, ""hidden_dim"": 128, ""name"": ""gin"", ""num_layers"": 4, ""pooling"": ""sum"", ""train_eps"": true}, ""num_parameters"": 117908, ""protocol"": {""atol"": 1e-06, ""covariance_regularization"": null, ""loss_margin"": 0.0, ""loss_threshold"": 0.2, ""output_dim"": 16, ""reference"": ""https://github.com/GraphPKU/BREC/blob/d09e8c349a8bbc0882d2932f7b37b2726f576ce9/base/test_BREC.py"", ""relabelings"": 32, ""rtol"": 1e-05, ""sample_count_multiplier"": false, ""statistic_device"": ""cpu"", ""statistic_dtype"": ""float32"", ""threshold"": 72.34}, ""source_sha256"": ""6975d172d27aedcdf4eb2c747450ede7928c111caeb2689fbc67e6b62fbd5562"", ""task"": {""batch_size"": 32, ""dataset"": ""BREC"", ""name"": ""brec"", ""num_workers"": 0}, ""training"": {""epochs"": 100, ""learning_rate"": 0.001, ""weight_decay"": 1e-05}}",scientific,Overall,pairs,"[0, 1, 2, 3, 4]",5,400,0.0,400,400,
gin,none,BREC,True,"{""encoding"": {""name"": ""none""}, ""model"": {""activation"": ""relu"", ""dropout"": 0.1, ""hidden_dim"": 128, ""name"": ""gin"", ""num_layers"": 4, ""pooling"": ""sum"", ""train_eps"": true}, ""num_parameters"": 117908, ""protocol"": {""atol"": 1e-06, ""covariance_regularization"": null, ""loss_margin"": 0.0, ""loss_threshold"": 0.2, ""output_dim"": 16, ""reference"": ""https://github.com/GraphPKU/BREC/blob/d09e8c349a8bbc0882d2932f7b37b2726f576ce9/base/test_BREC.py"", ""relabelings"": 32, ""rtol"": 1e-05, ""sample_count_multiplier"": false, ""statistic_device"": ""cpu"", ""statistic_dtype"": ""float32"", ""threshold"": 72.34}, ""source_sha256"": ""6975d172d27aedcdf4eb2c747450ede7928c111caeb2689fbc67e6b62fbd5562"", ""task"": {""batch_size"": 32, ""dataset"": ""BREC"", ""name"": ""brec"", ""num_workers"": 0}, ""training"": {""epochs"": 100, ""learning_rate"": 0.001, ""weight_decay"": 1e-05}}",scientific,Overall,distinguished,"[0, 1, 2, 3, 4]",5,0,0.0,0,0,
gin,none,BREC,True,"{""encoding"": {""name"": ""none""}, ""model"": {""activation"": ""relu"", ""dropout"": 0.1, ""hidden_dim"": 128, ""name"": ""gin"", ""num_layers"": 4, ""pooling"": ""sum"", ""train_eps"": true}, ""num_parameters"": 117908, ""protocol"": {""atol"": 1e-06, ""covariance_regularization"": null, ""loss_margin"": 0.0, ""loss_threshold"": 0.2, ""output_dim"": 16, ""reference"": ""https://github.com/GraphPKU/BREC/blob/d09e8c349a8bbc0882d2932f7b37b2726f576ce9/base/test_BREC.py"", ""relabelings"": 32, ""rtol"": 1e-05, ""sample_count_multiplier"": false, ""statistic_device"": ""cpu"", ""statistic_dtype"": ""float32"", ""threshold"": 72.34}, ""source_sha256"": ""6975d172d27aedcdf4eb2c747450ede7928c111caeb2689fbc67e6b62fbd5562"", ""task"": {""batch_size"": 32, ""dataset"": ""BREC"", ""name"": ""brec"", ""num_workers"": 0}, ""training"": {""epochs"": 100, ""learning_rate"": 0.001, ""weight_decay"": 1e-05}}",scientific,Overall,distinction_rate,"[0, 1, 2, 3, 4]",5,0.0,0.0,0.0,0.0,
gin,none,BREC,True,"{""encoding"": {""name"": ""none""}, ""model"": {""activation"": ""relu"", ""dropout"": 0.1, ""hidden_dim"": 128, ""name"": ""gin"", ""num_layers"": 4, ""pooling"": ""sum"", ""train_eps"": true}, ""num_parameters"": 117908, ""protocol"": {""atol"": 1e-06, ""covariance_regularization"": null, ""loss_margin"": 0.0, ""loss_threshold"": 0.2, ""output_dim"": 16, ""reference"": ""https://github.com/GraphPKU/BREC/blob/d09e8c349a8bbc0882d2932f7b37b2726f576ce9/base/test_BREC.py"", ""relabelings"": 32, ""rtol"": 1e-05, ""sample_count_multiplier"": false, ""statistic_device"": ""cpu"", ""statistic_dtype"": ""float32"", ""threshold"": 72.34}, ""source_sha256"": ""6975d172d27aedcdf4eb2c747450ede7928c111caeb2689fbc67e6b62fbd5562"", ""task"": {""batch_size"": 32, ""dataset"": ""BREC"", ""name"": ""brec"", ""num_workers"": 0}, ""training"": {""epochs"": 100, ""learning_rate"": 0.001, ""weight_decay"": 1e-05}}",scientific,Overall,candidate_distinguished,"[0, 1, 2, 3, 4]",5,0,0.0,0,0,
gin,none,BREC,True,"{""encoding"": {""name"": ""none""}, ""model"": {""activation"": ""relu"", ""dropout"": 0.1, ""hidden_dim"": 128, ""name"": ""gin"", ""num_layers"": 4, ""pooling"": ""sum"", ""train_eps"": true}, ""num_parameters"": 117908, ""protocol"": {""atol"": 1e-06, ""covariance_regularization"": null, ""loss_margin"": 0.0, ""loss_threshold"": 0.2, ""output_dim"": 16, ""reference"": ""https://github.com/GraphPKU/BREC/blob/d09e8c349a8bbc0882d2932f7b37b2726f576ce9/base/test_BREC.py"", ""relabelings"": 32, ""rtol"": 1e-05, ""sample_count_multiplier"": false, ""statistic_device"": ""cpu"", ""statistic_dtype"": ""float32"", ""threshold"": 72.34}, ""source_sha256"": ""6975d172d27aedcdf4eb2c747450ede7928c111caeb2689fbc67e6b62fbd5562"", ""task"": {""batch_size"": 32, ""dataset"": ""BREC"", ""name"": ""brec"", ""num_workers"": 0}, ""training"": {""epochs"": 100, ""learning_rate"": 0.001, ""weight_decay"": 1e-05}}",scientific,Overall,reliability_failures,"[0, 1, 2, 3, 4]",5,0,0.0,0,0,
gin,none,BREC,True,"{""encoding"": {""name"": ""none""}, ""model"": {""activation"": ""relu"", ""dropout"": 0.1, ""hidden_dim"": 128, ""name"": ""gin"", ""num_layers"": 4, ""pooling"": ""sum"", ""train_eps"": true}, ""num_parameters"": 117908, ""protocol"": {""atol"": 1e-06, ""covariance_regularization"": null, ""loss_margin"": 0.0, ""loss_threshold"": 0.2, ""output_dim"": 16, ""reference"": ""https://github.com/GraphPKU/BREC/blob/d09e8c349a8bbc0882d2932f7b37b2726f576ce9/base/test_BREC.py"", ""relabelings"": 32, ""rtol"": 1e-05, ""sample_count_multiplier"": false, ""statistic_device"": ""cpu"", ""statistic_dtype"": ""float32"", ""threshold"": 72.34}, ""source_sha256"": ""6975d172d27aedcdf4eb2c747450ede7928c111caeb2689fbc67e6b62fbd5562"", ""task"": {""batch_size"": 32, ""dataset"": ""BREC"", ""name"": ""brec"", ""num_workers"": 0}, ""training"": {""epochs"": 100, ""learning_rate"": 0.001, ""weight_decay"": 1e-05}}",scientific,Basic,pairs,"[0, 1, 2, 3, 4]",5,60,0.0,60,60,
gin,none,BREC,True,"{""encoding"": {""name"": ""none""}, ""model"": {""activation"": ""relu"", ""dropout"": 0.1, ""hidden_dim"": 128, ""name"": ""gin"", ""num_layers"": 4, ""pooling"": ""sum"", ""train_eps"": true}, ""num_parameters"": 117908, ""protocol"": {""atol"": 1e-06, ""covariance_regularization"": null, ""loss_margin"": 0.0, ""loss_threshold"": 0.2, ""output_dim"": 16, ""reference"": ""https://github.com/GraphPKU/BREC/blob/d09e8c349a8bbc0882d2932f7b37b2726f576ce9/base/test_BREC.py"", ""relabelings"": 32, ""rtol"": 1e-05, ""sample_count_multiplier"": false, ""statistic_device"": ""cpu"", ""statistic_dtype"": ""float32"", ""threshold"": 72.34}, ""source_sha256"": ""6975d172d27aedcdf4eb2c747450ede7928c111caeb2689fbc67e6b62fbd5562"", ""task"": {""batch_size"": 32, ""dataset"": ""BREC"", ""name"": ""brec"", ""num_workers"": 0}, ""training"": {""epochs"": 100, ""learning_rate"": 0.001, ""weight_decay"": 1e-05}}",scientific,Basic,distinguished,"[0, 1, 2, 3, 4]",5,0,0.0,0,0,
gin,none,BREC,True,"{""encoding"": {""name"": ""none""}, ""model"": {""activation"": ""relu"", ""dropout"": 0.1, ""hidden_dim"": 128, ""name"": ""gin"", ""num_layers"": 4, ""pooling"": ""sum"", ""train_eps"": true}, ""num_parameters"": 117908, ""protocol"": {""atol"": 1e-06, ""covariance_regularization"": null, ""loss_margin"": 0.0, ""loss_threshold"": 0.2, ""output_dim"": 16, ""reference"": ""https://github.com/GraphPKU/BREC/blob/d09e8c349a8bbc0882d2932f7b37b2726f576ce9/base/test_BREC.py"", ""relabelings"": 32, ""rtol"": 1e-05, ""sample_count_multiplier"": false, ""statistic_device"": ""cpu"", ""statistic_dtype"": ""float32"", ""threshold"": 72.34}, ""source_sha256"": ""6975d172d27aedcdf4eb2c747450ede7928c111caeb2689fbc67e6b62fbd5562"", ""task"": {""batch_size"": 32, ""dataset"": ""BREC"", ""name"": ""brec"", ""num_workers"": 0}, ""training"": {""epochs"": 100, ""learning_rate"": 0.001, ""weight_decay"": 1e-05}}",scientific,Basic,distinction_rate,"[0, 1, 2, 3, 4]",5,0.0,0.0,0.0,0.0,
gin,none,BREC,True,"{""encoding"": {""name"": ""none""}, ""model"": {""activation"": ""relu"", ""dropout"": 0.1, ""hidden_dim"": 128, ""name"": ""gin"", ""num_layers"": 4, ""pooling"": ""sum"", ""train_eps"": true}, ""num_parameters"": 117908, ""protocol"": {""atol"": 1e-06, ""covariance_regularization"": null, ""loss_margin"": 0.0, ""loss_threshold"": 0.2, ""output_dim"": 16, ""reference"": ""https://github.com/GraphPKU/BREC/blob/d09e8c349a8bbc0882d2932f7b37b2726f576ce9/base/test_BREC.py"", ""relabelings"": 32, ""rtol"": 1e-05, ""sample_count_multiplier"": false, ""statistic_device"": ""cpu"", ""statistic_dtype"": ""float32"", ""threshold"": 72.34}, ""source_sha256"": ""6975d172d27aedcdf4eb2c747450ede7928c111caeb2689fbc67e6b62fbd5562"", ""task"": {""batch_size"": 32, ""dataset"": ""BREC"", ""name"": ""brec"", ""num_workers"": 0}, ""training"": {""epochs"": 100, ""learning_rate"": 0.001, ""weight_decay"": 1e-05}}",scientific,Basic,candidate_distinguished,"[0, 1, 2, 3, 4]",5,0,0.0,0,0,
gin,none,BREC,True,"{""encoding"": {""name"": ""none""}, ""model"": {""activation"": ""relu"", ""dropout"": 0.1, ""hidden_dim"": 128, ""name"": ""gin"", ""num_layers"": 4, ""pooling"": ""sum"", ""train_eps"": true}, ""num_parameters"": 117908, ""protocol"": {""atol"": 1e-06, ""covariance_regularization"": null, ""loss_margin"": 0.0, ""loss_threshold"": 0.2, ""output_dim"": 16, ""reference"": ""https://github.com/GraphPKU/BREC/blob/d09e8c349a8bbc0882d2932f7b37b2726f576ce9/base/test_BREC.py"", ""relabelings"": 32, ""rtol"": 1e-05, ""sample_count_multiplier"": false, ""statistic_device"": ""cpu"", ""statistic_dtype"": ""float32"", ""threshold"": 72.34}, ""source_sha256"": ""6975d172d27aedcdf4eb2c747450ede7928c111caeb2689fbc67e6b62fbd5562"", ""task"": {""batch_size"": 32, ""dataset"": ""BREC"", ""name"": ""brec"", ""num_workers"": 0}, ""training"": {""epochs"": 100, ""learning_rate"": 0.001, ""weight_decay"": 1e-05}}",scientific,Basic,reliability_failures,"[0, 1, 2, 3, 4]",5,0,0.0,0,0,
